short_description,description,ticket_type,category,sub_category1,sub_category2,business_service,urgency,impact
amend poll description for,amend poll description hey guys please help out modify description polls escalation polls log assign please thank please let require other side regards engineer,1,4,2,21,59,3,4
new starter denmark,call ref starter hardware allocation denmark dear please help setting possible sorry short notice thank kind regards engineer re call ref starter hardware allocation denmark configured yet number which order join ad log other hand over without kind regards engineer re call ref starter hardware allocation denmark hi please hand over traveling wednesday copenhagen please make within copenhagen best regards re call ref starter hardware allocation denmark number cannot join number by please let configuring thank kind regards engineer re call ref starter hardware allocation denmark hi please offer update handed over kind regards administrator friday re call ref starter hardware allocation denmark hi inform touch subject process getting sorted best regards thursday pm re call ref starter hardware allocation denmark wrong thought previously phone suppliers reviewed agreed then review supplier terms regards re call ref starter hardware allocation denmark were mobility officer re call ref starter hardware allocation denmark hi negotiated deal operator denmark whom talk process getting supplier approved beside phone contract least more persons phone more person lead generator person best cost efficient corporate deal rather than individual mention overhead created by everyone expensing best regards thursday pm re call ref starter hardware allocation denmark hi he needs approve order hoping resolved tomorrow courier over weekend arrive wednesday regards mobile discussed ago feel best purchases his preferred phone plan costs given number employees based denmark cost effective enter plan kind regards mobility officer re call ref starter hardware allocation denmark hi regarding approved image regarding his mobile phone contract needs advise how going handle give him number he generate large costs denmark needs cover kind regards administrator thursday pm re call ref starter hardware allocation denmark hi has danish sorted out his parking well please find way sort out his mobile phone contract he continue his phone contract also traveling copenhagen wednesday possible give him notebook bring over copenhagen otherwise until he gets best regards friday december pm re call ref starter hardware allocation denmark hey idea matters too cheers wrote copenhagen denmark has confirmed advise kind regards mobility officer december re call ref starter hardware allocation denmark hi unfortunately wait till configured out via courier kind regards december re call ref starter hardware allocation denmark copenhagen asap which holiday he has approved please let today great difficult denmark by has everything installed package thanks wrote hi next kind regards administrator friday december pm re call ref starter hardware allocation denmark whose wrote good afternoon device has arrived until fully approved cannot proceed by allocating thank kind regards administrator tuesday december pm re call ref starter hardware allocation denmark please approve wrote hello please review provide po number supplier order completed thank kind regards administrator wednesday december pm re call ref starter hardware allocation denmark hello please review earliest convenience please wednesday december pm re call ref starter hardware allocation denmark hi placed order fastest even po has approved yet contacted supplier today about inform he let kind regards administrator wednesday december pm re call ref starter hardware allocation denmark hi has arrived understand he today tomorrow kind regards mobility officer november re call ref starter hardware allocation denmark hi told supplier make fastest option chosen thank kind regards administrator thursday november pm re call ref starter hardware allocation denmark thanks please ensure fastest option selected kind regards mobility officer november re call ref starter hardware allocation denmark good afternoon created submitted speed things supplier much gets please quires thank kind regards administrator wednesday november pm re call ref starter hardware allocation denmark thank please make information included wednesday november pm re call ref starter hardware allocation denmark part negotiation employ package he pro thanks wrote hello apologize missed went several times thread has justification challenged sufficient reason him wanted avoid lengthy topic which cause delays equipment wednesday november pm re call ref starter hardware allocation denmark done justification were want again wrote hello please help understand justification these exceptions instead pc pro instead please also indicate code cost device please make information incorporated ensure smooth progress wednesday november pm re call ref starter hardware allocation denmark hey yep book pro please he currently has requested thanks wrote thanks generally option selected relates developers digital option preference order accordingly regards mobile believes best him select plan handset reimburse him accordingly given few employees engaged by danish entity seems unlikely corporate plan cost effective kind regards mobility officer november re call ref starter hardware allocation denmark pro retina intel plus graphics kb please everything thanks wrote hi please specify which model needing pro retina intel plus graphics kb pro retina intel plus graphics kb apple core os please advised even order today days probably by december kind regards administrator wednesday november pm re call ref starter hardware allocation denmark importance high hi urgently,1,4,1,7,65,3,4
account for,hi please help create kind regards senior developer,1,4,1,7,4,3,4
add to groups,add groups dear please add addresses thanks head,1,4,1,7,4,3,4
add to,add dear please add best regards,1,4,1,7,4,3,4
reset ad account,ad hello please ad his expired thank testing discipline lead,1,4,1,76,4,3,4
reset confluence password for,expire days hi guys please confluence thanks expire days hello please help going expire id thanks lead automation off cell expire days importance high dear expire days order change please follow steps prerequisites disable device credentials close active connected by cable machine note also follow steps detailed press ctrl alt delete same pops change item enter format enter enter newly chosen then re enter again submit displaying has changed os machine browse enter format enter gear icon top tight browser window enter enter newly chosen then re enter again save connected note complete resources granted once connected by cable browse tick want change after logging enter format enter log enter enter newly chosen then re enter again change clients suppliers about expire please touch person then communicate back encounter issues hesitate by accessing yours information transmitted content communication confidential intended intended recipient affiliates subsidiaries intended recipient hereby notified information contained transmitted communication dissemination copying communication strictly prohibited received communication error please notify immediately by replying delete,1,4,2,76,4,3,4
inactive,inactive hello colleague has left has expense report pending cannot process because by mistake she added incorrect amount against per diem please modify show sum amount submitted by her per diem thank please let known done great accounts payable,1,4,3,21,66,3,4
please action submit your time cards for approval,please action submit cards good morning unable delete enter correctly please delete timecard st thank officer ext blvd please action submit cards dear receiving because cards haven submitted please note enough enter also make submit take corrective actions submitted card gets rejected breakdown submitted cards please submit accordingly possible country submitted cards card status entered total submitted cards submitted cards statuses explained error usually happens log calendar view period than days then delete which causes timecard switch error fix add back deleted delete entire timecard right hand side menu recreate again rejected card rejected by approvers please card entries accordingly resubmit entered status timecard few days entire timecard entered saved cards status has passed entered validation gone next submission step card issues resolve please wait corresponding resolutions,1,4,3,7,67,3,4
provide responsibilities to for all data sets,re again fake hi granted requested further assistance please let please log thank best regards engineer,1,4,1,7,66,3,4
cc discussion,discussion hi please enable links tried several times luck best regards senior engineer thursday discussion importance high hi today discussion details cycle brief how did disciplines select candidates issues anonymous feedback form order biased play observers involved cross discipline scenario chosen by interview scenario mentor chooses scenario according feedback play interview materials scenario same materials scenario same materials session best fit candidate discipline heads around things considered lot materials session tools voices same materials soft skills session brief overview motivation coaching feedback prepared according presentations available deliver needed after sessions finished mentor writes formal report outlining findings further improvement opportunities examples ongoing course least months sums things nicely available further required feel free consult coordinate mentors other disciplines best regards head,1,4,1,7,46,3,4
how to administrate the access to one com for project,re owner groups hi how administrate kindly,1,4,3,88,46,3,4
password reset,hi please let myself once done thanks friday pm re passwords hi haven gotten yet want ahead mine works sr mobile strategy sylvan way nj friday passwords hi has recently informed his about expire less than days today checking also received similar regarding passwords thanks information electronic contain information confidential privileged otherwise protected by work product other rules solely individual entity originally intended electronic by anyone unauthorized intended recipient advised unauthorized review disclosure copying information action taken omitted taken reliance prohibited unlawful please notify immediately received electronic by mistake destroy copies believes attachments were free virus worm trojan horse malicious code other contaminants transmissions cannot secure error free attachments corrupted made incomplete during transmission by reading opening attachments recipient accepts responsibility viruses other defects arise taking remedial action relating viruses other defects neither nor affiliated entities liable loss damage arising way errors omissions contents attachments monitors outgoing communications content attachments purposes compliance training other purposes permitted by applicable,1,4,2,76,4,3,4
opportunity into pas,opportunity hi please import bellow opportunity pipeline opportunity id thanks officer,1,4,3,7,70,3,4
request to be added to,added hi please added currently thanks,1,4,1,7,56,3,4
admin account,hello please create colleague addition please him resources added kind regards engineer ext,1,4,1,7,4,3,4
that need to be modified,modified hi please setup definitions per indications please thank modified hi discussed please find haven got snow tm tm asp same tm asp tm tm tm hardware tm leaver tm mailbox tm mercury advertising same tm mercury tm mercury circulation same tm mercury tm wizard same tm asp tm mon tm starter tm same tm same colour same type works thank her,1,4,3,21,56,3,4
access folder on,hello please two colleagues copied shared folder thank great accounts payable,1,4,1,7,38,3,4
relocation to bucharest add to,relocation add hello since relocated unit please ask add usually add sort him additional please let provide thanks kind regards,1,4,1,7,36,3,4
hp battery safety recall,battery recall dear did receive information since looking forward receive further instructions thank main main,1,5,13,88,32,3,4
access to the report with the absence statuses,query how find out annual leave status discipline has assigned hi please rise assign thanks best regards engineer,1,4,1,7,66,3,4
access expenses mailbox,mailbox hello please colleague common mailbox he joiner essential his work copied authorization thank great accounts payable,1,4,1,7,36,3,4
access expenses mailbox,re mailbox hello approved friday pm mailbox hello please colleague common mailbox he joiner essential his work copied authorization thank great accounts payable,1,4,1,7,36,3,4
,hi please activate tried thank application lead,1,4,1,7,64,3,4
card leaver,card leaver va,1,7,1,87,73,3,4
new career,hi please best regards analyst friday pm hi believe help thank best regards engineer tuesday pm hi unfortunately by myself thank mob december hello please help change thanks regards,1,4,2,21,67,3,4
update no proofing tool,update proofing tool dear question since update proofing tool anymore help change make work again thanks main main,1,5,15,7,32,3,4
laptop holder,holder dear order lap top holder please inform possible receive thank,1,5,13,7,32,3,4
add to the,add hello please add thanks,1,4,2,7,56,3,4
acquired backpack,acquired backpack hello requested received backpack best regards developer,1,5,13,7,32,3,4
new project code requested,code requested hello creation code kindly ask form needs filled thank measurements,1,4,2,7,66,3,4
second monitor docking station,second monitor docking station hi members left left changed both had monitor docking station purchased cost redistributed second monitor docking station other members received monitor docking station received monitor docking station also changed his monitor has monitor has monitor returned left thanks senior,1,5,13,7,32,3,4
outlook to be deleted,deleted hi has created includes myself idea about please delete thanks please refer section entities,1,4,2,87,36,3,4
wants to access,wants accept decline requests,1,4,1,7,46,3,4
new purchase po,purchase po has assigned dear please separate installation regards engineer date friday pm purchase po has assigned hello please advised record number has assigned please review details take appropriate action reference number details requested location tower summary purchase po additional comments requirements purchase po dear purchased please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator assign reference assignment summary purchase po location tower attachments image please link kind regards please ref msg,1,5,13,7,32,3,4
annual leave delete the request for,annual leave delete hello submitted annual leave days worked please delete annual leave delete anymore thank senior developer,1,4,2,21,67,3,4
new purchase po,purchase po dear purchased lite mobile subscription updated include device under user name please log allocation device after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,1,5,13,7,32,3,4
new absence plan for,re absence plan hi please assign best regards analyst friday pm re absence plan hi make absolutely clear difference plans number days best regards analyst friday pm absence plan hello kind help configuring annual leave plan bulgarian employees days accrual per same plan confirmation needed additional information required thank kind regards,1,4,3,7,63,3,4
temporary mobile phone,mobile phone hi please give mobile phone next weeks thanks floor blvd district,1,5,13,7,32,3,4
new purchase po,purchase po dear purchased lite updated include device under user name please log allocation device please log retrieve old device after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed please make return old device accessories left receive receive old device please user thank kind regards administrator,1,5,13,7,32,3,4
new purchase po mudra,purchase po dear purchased lite mobile subscription number updated include device under user name please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,1,5,13,7,32,3,4
phone for new team member,phone member dear member mobile phone phone number her please inform about procedure how she receive thank,1,5,13,7,32,3,4
oracle request new joiner,again fake dear colleagues opened yesterday directly got number tickets details same number allocated completely different issue happens dear colleagues please help done phantom per please provide responsibilities colleague sets accounts payable specialist accounts payable accounts payable supervisor buyer expense auditor thanks lead,1,4,2,7,66,3,4
returning from maternity leave,returning maternity leave hello please fill date,1,4,2,21,4,3,4
access to,hello please provide folder file thanks re approved thanks looking old returns going back years understand files please forward thanks interim tax,1,4,1,7,38,3,4
new purchase po,purchase po dear purchased mobil pixel link please log allocation please log retrieve old device after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,1,5,13,7,32,3,4
notification issues with wired connection partially,re logged issues wired partially hello please announce about his window attach find form thank,1,6,22,60,52,3,4
access to,hi guys give same privileges thanks mo senior infrastructure consultant upcoming holiday,1,4,1,7,93,3,4
user account change,visual studio license dear activate his subscription please kindly help modify active directory thanks analyst friday pm re visual studio license hello please informed visual studio pro subscription has assigned received subscription benefits activate subscription please subscription taken federation please sign credentials menu assigned also activate visual studio sign please kindly let further assistance needed best regards analyst reference number,1,4,2,21,4,3,4
user account change for,user change hello guys user change visual studio subscription thanks,1,4,2,21,4,3,4
ring central add account for fax,ring central add fax hi faxing capabilities ring central app allow faxes via currently ability often needs fax confidential well ask ring central faxing purposes she phone her ability faxes her please let thank best regards specialist,1,5,15,7,32,3,4
leaver december,leaver form leave date december location hello leaver form has filled by name leaving date december location ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details planned comments planned work has completed needed tickets automatically logged best regards note mailbox receive messages,1,4,2,51,65,3,4
change tool service name to tool,change tool name tool dear please related please tasks which change name tool tool update name least understand technical solution quite important historical related same name information let best regards registered under number whose registered old broad street kingdom provide clients each subsidiaries separate entity has liability entity acts omission,1,4,3,7,56,3,4
new purchase po,purchase po dear purchased adapter please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,1,5,13,7,32,3,4
preparer role,preparer role hello please kindly colleague requester preparer rights please log thank much best regards compliance ext,1,4,1,7,66,3,4
new purchase po,purchase po dear purchased lite link please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,1,5,13,7,32,3,4
external monitor required,monitor required dear please bring floor area monitor thank regards,1,5,13,7,32,3,4
set as pm for project code with a start date of,re problem hi pm code date further assistance please let please assign thank best regards engineer,1,4,2,7,66,3,4
update password for expenses read only,update hi help user thanks officer friday pm update hi please help update user thank officer,1,4,2,76,4,3,4
oracle access,hello please give same options menus has work side she process also she needs extended thank,1,4,1,7,66,3,4
please adjust commercial model,please adjust commercial model hi please help change commercial model contracts materials sow sow sow sow sow sow sow thank officer,1,4,3,7,10,3,4
help with changing password,addressed she cannot change her ctrl alt delete method she received denied,1,4,2,76,4,3,4
password reset,pm hi guys little problem due expire days leave change pm pm pm pm,1,4,2,76,4,3,4
add new folder,add folder hello please details add folder library review forms disciplines review contribute rights thank kind regards analyst,1,4,3,7,46,3,4
rename value,rename hello please details rename title thank kind regards analyst,1,4,3,7,51,3,4
quality gates migrations,gates migrations dear colleagues please log migration gates instance instance order prepare migration thank engineer,1,4,3,7,88,3,4
snow user for,snow user hi please create user added please reassign snow license regards,1,4,2,7,56,3,4
change owner for all mailboxes,re hi left owner kind regards head,1,4,2,21,36,3,4
new starter,transfer hello everyone please make relevant changes transfer change effective today apologize short none notice further details required kindly let thanks kind regards leader mobile,1,4,2,94,56,3,4
quality profiles migrations,profiles migrations dear colleagues please log migration profiles instance instance order prepare migration thank engineer,1,4,3,21,42,3,4
re time card error,re card error let enter after signed out signed again card error please let thanks lot friday card error hi add please provide steps how resolve issue thanks lot,1,4,2,21,67,3,4
cable to be replaced,cable replaced hi located floor tower cable needs fixing replacement thank help kind regards officer,1,5,13,60,32,3,4
re request telephony audit has been assigned to your queue check extensions with ad users activity,re telephony has assigned queue extension valid ad disabled engineer phone,1,4,3,60,63,3,4
new purchase po,purchase po dear purchased please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,1,5,13,7,32,3,4
chat contact type,chat type hi guys please make type chat default selected tickets logged based chats understand instant which allow quantify amount users chatting via self also tried selecting chat manually test raised unable displayed none thank,1,4,3,7,56,3,4
job,job hello within few jobs help by creating where administer these jobs name persons create administer jobs thank,1,4,2,7,49,3,4
make project code mandatory for projects and,make code mandatory hello please details make code mandatory please assign thank kind regards analyst,1,4,3,7,51,3,4
re new starter access card enabling,re starter card enabling hi please assign card please thank much,1,4,1,7,73,3,4
notifications for changes,changes hello once user has created please make adjustments user every change progressed closed further details required side please let thank,1,4,2,21,56,3,4
new starter am discipline refused offer,re starter discipline hi contacted via he answering phone calls tried find out happened exactly his after pros cons he decided reject continues working without letting about his decision he confirmed bring december per si pro si contra la multi la offer rejection merci ales pot care pro si contra care personal best tuesday pm re starter discipline hello information reach him tomorrow maybe he has problems good confirmation he withdrew acceptance joining tuesday pm re starter discipline hello unfortunately inform show working reach him by phone assume he withdrew acceptance joining apologies inconvenience caused thank december pm assistants starter discipline dear please informed candidate accepted job offer become discipline engineer st please create his credentials per attached form thank best specialist,1,4,2,87,40,3,4
create a user for com,create user hello please create user further details required side please let thank,1,4,2,7,56,3,4
access to,hello please files thank,1,4,1,7,38,3,4
new purchase po,purchase po dear purchased please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,1,5,13,7,32,3,4
pm access change request,pm change hi release take over work side regard please appoint him code thanks coordinator,1,4,2,21,70,3,4
mail lists creation,lists creation hi please create name owner receive membership nap nap nap nap nap testing nap testing thanks regards,1,4,2,7,36,3,4
please enter a annual leave for me on th december,please enter annual leave december hello since enter off ahead submitting december enter off december please attached error please add off annual leave december thank software developer,1,4,3,7,67,3,4
access mail,hello help great accounts payable,1,4,1,7,36,3,4
reset password for ad account,ad dear colleagues please ad assign directly thanks best regards engineer,1,4,2,76,4,3,4
report for december,report december hello please attached reports workstations december please log queue under thank best regards senior engineer,1,4,3,88,98,3,4
type field not visible issue screen for projects,type visible issue screen hello please enable type issue screen add view thank best regards senior developer,1,4,3,7,51,3,4
re following up on requests,re requests hi approved member please make well his secure area thank thursday pm requests hello please advise re him his rights please note granted log also arrives make modifications well kind regards analyst ext hub thursday pm requests hello getting back regarding two requests placed yesterday updates matter raw estimation thank kindly,1,4,1,87,73,3,4
maternity return access card enabling,re return maternity hi please find attached form thank head analysis friday return maternity hello please fill return maternity form thank,1,7,1,94,73,3,4
new starter colombia bogota bogota,complete colombia dear please find enclosure latest version help completed form android developer engineer joining well please complete going his where he going seated thank compliance officer,1,4,1,7,4,3,4
sticker found en,sticker found hi yesterday received sticker found near door please belongs too thanks,1,5,13,88,32,3,4
new purchase po user left on,purchase po dear purchased pro retina intel plus graphics kb mouse keyboard numeric keypad please log allocation kind regards administrator,1,5,13,7,32,3,4
update project codes tags on azure subscriptions,update codes tags azure hi please create update codes tags azure assign kind regards thursday pm code update lead,1,4,3,21,9,3,4
open new address for copenhagen,copenhagen dear colleagues please help copenhagen copenhagen attached about merger velocity receive messages please because order thank best,1,4,3,7,36,3,4
password reset for external account,re expire days hi user getting suggest which steps resolve please further regards solution engineering engineering center tower wing thursday pm expire days importance high dear expire days change pc press ctrl alt delete choose change thanks ext information transmitted content communication confidential intended intended recipient affiliates subsidiaries intended recipient hereby notified information contained transmitted communication dissemination copying communication strictly prohibited received communication error please notify immediately by replying delete,1,4,2,76,4,3,4
leaver service now,leaver form leave date location hello leaver form has filled by name leaving date location ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details planned comments contractor he has also never work within site needed tickets automatically logged best regards note mailbox receive messages,1,4,2,51,56,3,4
notification template for expiring passwords,re expire days hi thanks raising forgot had version standing by please changed elements red updated accordingly keep bulked words possible dear name expire days order change please follow steps prerequisites disable device credentials close active connected by cable machine note also follow steps detailed press ctrl alt delete same pops change item enter format enter enter newly chosen then re enter again submit displaying has changed os machine browse enter format enter gear icon top tight browser window enter enter newly chosen then re enter again save connected note complete resources granted once connected by cable browse tick want change after logging enter format enter log enter enter newly chosen then re enter again change clients suppliers about expire please touch person then communicate back encounter issues hesitate by accessing yours thank expire days importance high hi please needs done while connected cable please update sense also worth include requirements thursday pm expire days importance high dear expire days change pc press ctrl alt delete choose change thanks ext,1,4,3,7,36,3,4
password reset for external user,expire days hi guys please thanks thursday pm re expire days great guessing other folks expire about same call center analyst michigan rd thursday re expire days hi today make remains active thank thursday pm expire days importance high call center analyst michigan rd thursday expire days importance high dear expire days change pc press ctrl alt delete choose change thanks ext information electronic contain information confidential privileged otherwise protected by work product other rules solely individual entity originally intended electronic by anyone unauthorized intended recipient advised unauthorized review disclosure copying information action taken omitted taken reliance prohibited unlawful please notify immediately received electronic by mistake destroy copies believes attachments were free virus worm trojan horse malicious code other contaminants transmissions cannot secure error free attachments corrupted made incomplete during transmission by reading opening attachments recipient accepts responsibility viruses other defects arise taking remedial action relating viruses other defects neither nor affiliated entities liable loss damage arising way errors omissions contents attachments monitors outgoing communications content attachments purposes compliance training other purposes permitted by applicable information electronic contain information confidential privileged otherwise protected by work product other rules solely individual entity originally intended electronic by anyone unauthorized intended recipient advised unauthorized review disclosure copying information action taken omitted taken reliance prohibited unlawful please notify immediately received electronic by mistake destroy copies believes attachments were free virus worm trojan horse malicious code other contaminants transmissions cannot secure error free attachments corrupted made incomplete during transmission by reading opening attachments recipient accepts responsibility viruses other defects arise taking remedial action relating viruses other defects neither nor affiliated entities liable loss damage arising way errors omissions contents attachments monitors outgoing communications content attachments purposes compliance training other purposes permitted by applicable,1,4,2,76,4,3,4
request to format laptop,format hi passed log format since upcoming weeks clean thanks attention regards senior developer,1,5,15,60,32,3,4
user for,user dear purposes instance additional user created level included repositories user interaction name contain reference similar key description thank developer,1,4,2,7,4,3,4
for pro,hi tunnel assigned pro arrange please thanks head,1,4,1,7,65,3,4
please create new user,please create user add hi please create user write collaboration tool framework user jobs running suggested name similar please add thank inca senior tester,1,4,2,7,36,3,4
service now account,hello kind caller assign appropriate furthermore also provide reference number order update client other please let thanks kind regards specialist thursday pm hi please created fulfiller license currently assigned thanks head leeds please consider environment printing regarded confidential received error please notify destroy immediately statements intent shall become binding confirmed hard copy by signatory contents relate dealings other companies under control details which found,1,4,1,7,56,3,4
us hr,hello possible currently receive ability please advise best,1,4,2,7,36,3,4
license allocation,license allocation hi please order allocated bellow licenses per total number supported points per total number active per total active per proposed purchase per per per per additional information please let coordinator purchase po hi purchased ct adder licenses controller con upgrades adder licenses kind regards administrator,1,5,15,7,32,3,4
visual studio and for two colleagues reshaper for station en com,hello two visual studio ultimate two colleagues two colleagues received ad receive also mentions station station please let further details thank,1,5,15,7,32,3,4
allocation new purchase po,purchase po dear purchased has please log allocation please log retrieve old device after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,1,5,13,7,32,3,4
type of work field not visible issue screen for project,type work visible issue screen hello please enable type work issue screen add view thank senior developer,1,4,3,7,51,3,4
expenses report approval,report hello help by updating these reports colleague needs redirected thank best regards,1,4,3,7,66,3,4
please access to for colleagues,please colleagues hello switch users granted also users side best regards senior developer,1,4,1,7,19,3,4
gray phone replacement,phone replacement dear please log assign providing replacement contingency thank kind regards engineer re phone replacement hello setting refurbished user currently doing factory kind regards engineer re phone replacement hi contingency kind regards administrator thursday pm phone replacement importance high dear kindly ask assistance raising purchase replacement please log make thousand mistakes cost allocation his working he stranded give priority he based client site client facing unit accessible ideal perhaps appreciate help thank,1,5,13,7,58,3,4
new member rules project,member rules hello join rules create provide these links title rules filter thank best regards,1,4,1,7,19,3,4
card,card dear please log assign thank kind regards engineer re card hi assigned phone number take maximum active has he help thank kind regards administrator thursday pm card hi moved kindly ask allocate card please help keeping thanks floor blvd district,1,5,13,7,58,3,4
new starter,re additional excuse correction needs instead form updated wednesday pm additional dear colleagues going more starter form attached please create him well great tuesday december pm importance high dear forms attached best regards,1,4,2,94,40,3,4
plug adapters request us,plug adapters hello guys please provide plug adapters pieces trip purposes thanks best regards engineer,1,5,13,7,32,3,4
el update,el update dear understood el mostly based old problem want ask make changes possible real information site each floor by left side working information actual needs updated please help improve application because important date based information el provide reports thank much regards planning officer,1,4,3,7,63,3,4
monthly subscribers report for month,re subscribers report hi thank letting about issue scheduled task shall receive filling report going forward dear please create responsible take care mentioned thanks again kind regards engineer,1,4,3,7,63,3,4
oracle fusion expenses app request,app dear re trail please kindly provide mobile app downloaded app successfully work mobile provide initial thanks help kind regards october hello order mobile application please follow steps step download install mobile device version step run app step press agree version step next fulfill version step host user name locally change later by yourself after part empty version step press done step press keep mind synchronization take until then complete installation encounter other issues please hesitate thanks kind regards analyst ext hub thursday october pm hi please provide details app thanks client,1,4,3,7,66,3,4
memory upgrade,memory upgrade hi upgrade members thanks,1,5,13,7,32,3,4
install and,install dear please log assign helping her install her scanner thanks kind regards engineer,1,5,15,7,32,3,4
patch cords to connect to network by wire,patch cords connect by wire hi please informed got patch cords connect wire take denmark connect wired danish best regards director,1,5,13,7,32,3,4
notification maintenance,hi environment mode weekend duration during period won accessible please communication users client heads client infrastructure please find attached completed form additional information please hesitate kind regards engineer,1,4,3,60,70,3,4
password change,re expire days dear vacation manage update cannot change reason old working please help best regards senior tester tuesday december pm expire days importance high dear expire days change pc press ctrl alt delete choose change thanks ext,1,4,2,76,4,3,4
new report please,report please hi please assign best regards analyst thursday pm report please hello report extract details commission arrangement easier add columns benefits report create report information needed discipline compensation plan scheme scheme lead generation scheme other plan word commission needs extracted date amount numeric notes information section free text more details clarification needed please let regards,1,4,3,7,67,3,4
bid squad administrator,bid squad administrator hi please change administrator bid squad thank test consultant,1,4,2,21,36,3,4
confluence access,confluence hi please enable users path confluence process overview thank best regards,1,4,1,7,27,3,4
oracle and pas setup pas,setup hi please setup per attached form regards,1,4,3,7,70,3,4
add annual leave for th st of december,please action submit cards hi please best regards analyst thursday pm re please action submit cards hi guys please help submit card had annual leave st december make adjustment timecard submit thank please action submit cards dear receiving because cards haven submitted please note enough enter also make submit take corrective actions submitted card gets rejected breakdown submitted cards please submit accordingly possible country submitted cards card status entered entered total submitted cards submitted cards statuses explained error usually happens log calendar view period than days then delete which causes timecard switch error fix add back deleted delete entire timecard right hand side menu recreate again rejected card rejected by approvers please card entries accordingly resubmit entered status timecard few days entire timecard entered saved cards status has passed entered validation gone next submission step card issues resolve please wait corresponding resolutions,1,4,3,7,67,3,4
service now account,thursday pm hi please created fulfiller license currently assigned thanks head leeds please consider environment printing regarded confidential received error please notify destroy immediately statements intent shall become binding confirmed hard copy by signatory contents relate dealings other companies under control details which found,1,1,17,94,56,3,4
report for december,report december hi guys please log forward usage report december thank kind regards ext,1,4,3,88,32,3,4
cable needed,cable needed hello received cable please help thank tester,1,5,13,7,32,3,4
need cable please,cable please hello cable connect monitor please thank best,1,5,13,7,32,3,4
to,dear sorry bothering much please migrating best regards engineer thursday pm re hi were migrated folder were granted rights requested users were added permissions write please validate give feedback best regards engineer thursday re va ale si inca senior tester thursday re va ca tine ne si write se ca si va update re care care date status comments git started collaboration tool git removed collaboration tool framework self inca senior tester thursday senior developer wednesday december re repository date tine si care la comments cine si care fie impact va date status comments git started content git started git started client git started git started reconciliation git started reconciliation git started reconciliation git started reconciliation overview generator git started reconciliation git started reconciliation valuation git started mock integrator git started signalling events git started collateral git started search git started collateral git started unit git started automation git started client git started confirmation git started widget git started git started reconciliation chaser git started git started reconciliation commons git started git started center mock started performance tests git started user git started git started mock started git started loans widget git started removed organizational git started removed widget git started removed loans widget git started removed mock started removed mock started removed ii git started removed murex git started removed treasury git started removed corporate landing ny git collateral transformer git documentation git mock removed mock removed client git removed reconciliation git removed automation tests git removed git git removed git maybe sip sip git started sip sip git started collaboration tool git removed collaboration tool framework best regards senior developer tuesday november pm self si super busy si se si care ca ca out tot ca date care ale tale mutate out cine care si migration dear colleagues migration planning migration content november december help content migrated existing git repository mirrored empty repository maintaining commit history next steps planning migration please assess context availability taking consideration aspects expects migration update take depending repository size number decide migration approach self done by decide self please follow steps let completed done by please propose date migrate details table migration date person comments available migrate assistance needed how existing repository instructions order repository please fill form via by template repository once resource created continue instructions out repository existing host parameter git clone repository git ex git clone git navigate cloned repository cd repository git ex cd git repository called git example locate clone navigation panel left git ex git add remote repository git remote add git ex repository git push branches tags git push issues assistance please hesitate how kind regards ext,1,4,3,7,19,3,4
new purchase po retrieval canceled,purchase po dear purchased pro retina intel plus graphics kb please log allocation please log retrieve old device kind regards administrator,1,5,13,87,32,3,4
changes inventory,changes inventory hi please help move notebook cooler item inventory inventory product code found helps please let more details regards,1,4,2,21,48,3,4
access to for,hello please give cheers application engineer,1,4,1,7,51,3,4
